team,wins,losses,ties,games,win_pct,owp,oowp,qualifying_wins,qualifying_losses,qualifying_ties,partial_wins,npi_rating
University of Mary Washington,3,0,0,3,1.0,50.0,83.33333333333333,3,0,0,0,55.33322187610579
The College of New Jersey,1,0,1,2,0.75,75.0,27.083333333333332,1,0,1,0,55.301518145992944
Elizabethtown College,1,1,0,2,0.5,100.0,33.33333333333333,1,1,0,0,55.241836485780084
Carnegie Mellon University,1,1,0,2,0.5,83.33333333333334,62.5,1,1,0,0,54.96971773567893
Capital University,2,1,0,3,0.6666666666666666,62.5,64.44444444444444,2,1,0,0,54.844372125148084
Bryn Mawr College,3,0,0,3,1.0,25.0,86.66666666666667,3,0,0,0,54.748360150353285
Kalamazoo College,2,0,0,2,1.0,16.666666666666664,75.0,2,0,0,0,54.73320102120749
Marymount University (Virginia),2,0,0,2,1.0,16.666666666666664,87.5,2,0,0,0,54.68951711806807
Ohio Wesleyan University,2,1,0,3,0.6666666666666666,66.66666666666666,66.66666666666667,2,1,0,0,54.66269942199588
Lawrence University,1,0,1,2,0.75,50.0,58.33333333333333,1,0,1,0,54.575542277391364
Washington University in St. Louis,2,0,0,2,1.0,0.0,100.0,2,0,0,0,54.55702624124599
Kenyon College,3,0,0,3,1.0,25.0,72.22222222222221,3,0,0,0,54.54454486730227
Wellesley College,2,0,0,2,1.0,33.33333333333333,66.66666666666667,2,0,0,0,54.53676540270182
Nazareth University,2,0,0,2,1.0,16.666666666666664,91.66666666666667,2,0,0,0,54.44445772080833
Centre College,1,0,0,1,1.0,0.0,100.0,1,0,0,0,54.4400613035641
University of Puget Sound,1,0,1,2,0.75,100.0,37.5,1,0,1,0,54.368198050250655
Wilson College,1,0,1,2,0.75,50.0,62.5,1,0,1,0,54.348176828178296
Guilford College,1,0,1,2,0.75,100.0,75.0,1,0,1,0,54.23979895952483
Catholic University,1,2,0,3,0.3333333333333333,100.0,55.55555555555555,1,2,0,0,54.21799347958088
Carleton College,1,0,1,2,0.75,50.0,68.75,1,0,1,0,54.10006800732508
University of Lynchburg,1,0,1,2,0.75,100.0,0.0,1,0,1,0,54.0745883653963
Oglethorpe University,2,0,0,2,1.0,0.0,83.33333333333333,2,0,0,0,53.812610323152214
Kean University,2,1,0,3,0.6666666666666666,50.0,50.27777777777777,2,1,0,0,53.80822155855022
Concordia University Wisconsin,0,0,1,1,0.5,100.0,50.0,0,0,1,0,53.80409842337665
Stevenson University,1,0,1,2,0.75,0.0,75.0,1,0,1,0,53.71996128818394
Misericordia University,3,0,0,3,1.0,30.0,76.66666666666667,3,0,0,0,53.62145453605648
New Jersey City University,3,0,0,3,1.0,33.33333333333333,83.33333333333333,3,0,0,0,53.60271830748928
Anderson University (Indiana),1,0,0,1,1.0,50.0,0.0,1,0,0,0,53.58542042113733
"Penn State University, Altoona",0,0,1,1,0.5,100.0,50.0,0,0,1,0,53.56606052881917
Saint Mary's College (Indiana),1,0,0,1,1.0,0.0,100.0,1,0,0,0,53.565448263975014
Houghton University,3,0,0,3,1.0,40.0,57.77777777777777,3,0,0,0,53.440158755480105
Simpson College,1,0,1,2,0.75,0.0,66.66666666666666,1,0,1,0,53.433554334247034
Hanover College,1,1,0,2,0.5,83.33333333333334,50.0,1,1,0,0,53.38480206844506
Millikin University,2,0,1,3,0.8333333333333334,33.33333333333333,50.0,2,0,1,0,53.336573511903
Sewanee,2,0,0,2,1.0,33.33333333333333,68.75,2,0,0,0,53.33333508831602
Central College (Iowa),2,0,1,3,0.8333333333333334,60.0,65.27777777777779,2,0,1,0,53.32239921613226
Stevens Institute of Technology,1,0,1,2,0.75,50.0,62.5,1,0,1,0,53.28314314839682
Wheaton College (Massachusetts),1,1,0,2,0.5,50.0,62.5,1,1,0,0,53.19690598102147
Gordon College,1,1,0,2,0.5,50.0,62.5,1,1,0,0,53.165692909786685
Drew University,1,0,1,2,0.75,33.33333333333333,79.16666666666667,1,0,1,0,53.08703599827045
Johns Hopkins University,1,1,1,3,0.5,100.0,42.22222222222222,1,1,1,0,53.075274841076045
University of Wisconsin-Stout,1,1,1,3,0.5,91.66666666666666,49.44444444444445,1,1,1,0,52.97817530199236
Rhode Island College,2,1,0,3,0.6666666666666666,50.0,63.888888888888886,2,1,0,0,52.971848774777634
Ithaca College,2,0,0,2,1.0,25.0,54.166666666666664,2,0,0,0,52.95094644327776
Roger Williams University,1,0,1,2,0.75,50.0,50.0,1,0,1,0,52.902642812622936
Marietta College,1,1,1,3,0.5,100.0,52.77777777777777,1,1,1,0,52.89717487799671
"Penn State University, Abington",1,1,0,2,0.5,50.0,62.5,1,1,0,0,52.826398337592885
Belhaven University,1,0,1,2,0.75,0.0,75.0,1,0,1,0,52.77778786137668
Averett University,1,0,1,2,0.75,50.0,75.0,1,0,1,0,52.777773520845734
Stockton University,1,1,1,3,0.5,75.0,50.27777777777777,1,1,1,0,52.74795347379856
Macalester College,2,0,0,2,1.0,33.33333333333333,52.08333333333333,2,0,0,0,52.690615771092155
Ursinus College,2,0,0,2,1.0,16.666666666666664,63.33333333333333,2,0,0,0,52.682356912225785
Brandeis University,1,0,1,2,0.75,0.0,50.0,1,0,1,0,52.61770858733309
