date,away_team,away_score,home_team,home_score,game_note
2024-08-23,Regent University,0,Eastern Mennonite University,1,p
2024-08-30,Gwynedd Mercy University,8,Penn State Brandywine,0,p
2024-09-02,Regent University,1,Sweet Briar College,0,p
2024-09-04,Regent University,1,Mary Baldwin University,3,p
2024-09-07,Regent University,0,Pfeiffer University,4,p
2024-09-07,Saint Vincent College,4,Carlow University,1,p
2024-09-08,Johnson & Wales University Charlotte,0,Eastern Mennonite University,1,p
2024-09-10,Carlow University,0,Washington and Jefferson College,7,p
2024-09-11,Ferrum College,2,Johnson & Wales University Charlotte,0,p
2024-09-11,William Peace University,5,Regent University,1,p
2024-09-11,Carlow University,0,Chatham University,2,p
2024-09-14,Regent University,0,Randolph College,3,p
2024-09-14,Johnson & Wales University Charlotte,2,Salem College (North Carolina),0,p
2024-09-14,University of Valley Forge,1,Penn State Brandywine,0,p
2024-09-17,Carlow University,1,Waynesburg University,4,p
2024-09-17,Pfeiffer University,0,Johnson & Wales University Charlotte,3,p
2024-09-18,Greensboro College,6,Regent University,1,p
2024-09-21,Johnson & Wales University Charlotte,1,Greensboro College,2,p
2024-09-21,Carlow University,0,Pennsylvania College of Technology,9,p
2024-09-24,Penn State Brandywine,0,Rosemont College,1,p
2024-09-28,Carlow University,4,Hilbert College,2,p
2024-09-28,Penn State Brandywine,1,Saint Elizabeth University,6,p
2024-10-01,Mount Aloysius College,4,Carlow University,2,p
2024-10-01,William Peace University,1,Johnson & Wales University Charlotte,1,p
2024-10-02,Penn State Brandywine,0,Cedar Crest College,6,p
2024-10-02,Ferrum College,5,Regent University,0,p
2024-10-05,Trinity Washington University,0,Regent University,14,p
2024-10-05,Cairn University,6,Penn State Brandywine,0,p
2024-10-05,Carlow University,3,"University of Pittsburgh, Bradford",2,p
2024-10-08,Penn State Harrisburg,11,Penn State Brandywine,0,p
2024-10-12,Salisbury University,3,Regent University,0,p
2024-10-12,Penn State Brandywine,0,St. Mary's College of Maryland,8,p
2024-10-12,Alfred State College,6,Carlow University,2,p
2024-10-15,La Roche University,5,Carlow University,0,p
2024-10-16,"Penn State University, Abington",10,Penn State Brandywine,0,p
2024-10-16,Meredith College,2,Johnson & Wales University Charlotte,0,p
2024-10-22,Johnson & Wales University Charlotte,0,Brevard College,3,p
2024-10-22,Penn State Berks College,12,Penn State Brandywine,0,p
2024-10-23,North Carolina Wesleyan University,1,Regent University,0,p
2024-10-23,Carlow University,0,"Penn State University, Altoona",5,p
2024-10-26,Penn State Brandywine,0,Lancaster Bible College,8,p
2024-10-26,"Pennsylvania State Univ. Erie, the Behrend College",8,Carlow University,0,p
2024-10-29,"University of Pittsburgh, Greensburg",6,Carlow University,0,p
