team,wins,losses,ties,games,win_pct,owp,oowp,qualifying_wins,qualifying_losses,qualifying_ties,partial_wins,npi_rating
Washington University in St. Louis,17,0,2,19,0.9473684210526315,68.88489208633094,61.07421015313177,7,0,2,0,70.39502191545529
Loras College,19,0,0,19,1.0,55.87301587301587,54.93338201652875,8,0,0,0,66.94010683737082
Washington and Lee University,18,1,1,20,0.925,59.32475884244373,57.346932117536575,6,1,1,1,66.17455044760965
Christopher Newport University,14,1,2,17,0.8823529411764706,62.8099173553719,59.47472970198581,7,1,2,0,65.4815920319536
The College of New Jersey,17,0,2,19,0.9473684210526315,57.61245674740484,56.86409186998064,7,0,2,0,65.3592818508472
Carnegie Mellon University,11,2,3,16,0.78125,66.74757281553399,61.54830453284761,7,2,3,0,65.17898132384836
Pomona-Pitzer Colleges,15,2,2,19,0.8421052631578947,59.854014598540154,57.25912563768285,8,2,2,0,63.72959435980076
University of Scranton,17,1,2,20,0.9,61.850649350649356,55.74090929822758,7,1,2,0,63.65811509100005
Calvin University,14,2,2,18,0.8333333333333334,63.725490196078425,55.497771728288086,9,2,2,0,63.55547648828572
Messiah University,16,1,3,20,0.875,55.095541401273884,56.30018160604528,6,1,3,1,63.511212056847654
New York University,10,2,6,18,0.7222222222222222,68.98148148148148,59.53290798501242,5,2,6,0,62.987813514516034
University of Rochester,11,3,3,17,0.7352941176470589,69.52191235059762,61.68505757756619,9,3,3,0,62.95284609814992
Misericordia University,17,1,2,20,0.9,54.268292682926834,54.733671622200944,7,1,2,0,62.746658383876955
Emory University,11,3,3,17,0.7352941176470589,68.64754098360656,61.418425205303116,6,3,3,1,62.63036000553355
Hobart and William Smith Colleges,12,3,4,19,0.7368421052631579,68.93939393939394,58.145472999165136,9,3,4,0,62.526321956139284
Johns Hopkins University,15,2,3,20,0.825,62.866449511400646,57.20213879329341,10,2,3,0,62.52553040612965
Massachusetts Institute of Technology,20,1,1,22,0.9318181818181818,53.97727272727273,55.48363187007495,10,1,1,0,62.30622312214617
Ithaca College,13,2,4,19,0.7894736842105263,63.34586466165414,56.86085424500926,10,2,4,0,62.118524952946004
Hardin-Simmons University,15,1,2,18,0.8888888888888888,55.39568345323741,56.851052562929006,7,1,2,0,62.06200493674205
Claremont McKenna-Harvey Mudd-Scripps Colleges,13,3,3,19,0.7631578947368421,61.07011070110702,56.6139682574035,6,3,3,1,61.73989220404455
Wesleyan University (Connecticut),12,1,4,17,0.8235294117647058,58.57740585774059,58.35569431651372,9,1,4,0,61.19790849762336
Tufts University,13,3,1,17,0.7941176470588235,63.671875,57.62236594982923,11,3,1,0,60.98493499032385
"University of California, Santa Cruz",7,2,3,12,0.7083333333333334,66.58031088082902,57.098195187743016,6,2,3,1,60.93498524232609
Sewanee,13,1,4,18,0.8333333333333334,63.519313304721024,54.667044423792575,8,1,4,0,60.80802549639095
Amherst College,11,1,6,18,0.7777777777777778,59.71074380165289,58.12952007329247,10,1,6,0,60.66860692980563
North Central College,16,4,1,21,0.7857142857142857,65.01416430594901,56.01390475581481,11,4,1,0,60.380617132108334
Trinity University (Texas),14,1,3,18,0.8611111111111112,56.80851063829787,51.544684111765974,8,1,3,0,60.30131663337702
University of Wisconsin-La Crosse,16,3,2,21,0.8095238095238095,60.54794520547945,56.61710587016135,11,3,2,0,60.201439912624366
Pacific Lutheran University,15,1,4,20,0.85,52.973977695167285,55.13321830904355,7,1,4,0,60.08622138530987
Rowan University,13,1,3,17,0.8529411764705882,53.36879432624113,56.67482829316262,9,1,3,0,59.85829974964766
Simpson College,14,2,3,19,0.8157894736842105,59.25925925925925,55.09340672968439,8,2,3,0,59.82368110048633
University of Chicago,10,6,2,18,0.6111111111111112,64.34108527131784,61.17825219588053,8,6,2,0,59.82168522445561
Carleton College,14,2,5,21,0.7857142857142857,60.11904761904761,56.08525081063082,10,2,5,0,59.607594468816615
St. Catherine University,14,2,4,20,0.8,57.42424242424242,56.50948954411396,10,2,4,0,59.6065135166133
Illinois Institute of Technology,18,2,2,22,0.8636363636363636,52.54237288135594,54.257427624347706,8,2,2,0,59.59572227258358
Vassar College,11,3,5,19,0.7105263157894737,61.95652173913043,57.54405316704326,8,3,5,0,59.33161484767014
Skidmore College,11,3,3,17,0.7352941176470589,54.91452991452992,57.41020020881586,7,3,3,0,59.21855177476671
State University of New York at Brockport,15,1,2,18,0.8888888888888888,44.67213114754098,50.643934097447904,7,1,2,0,58.974669033111034
"Pennsylvania State Univ. Erie, the Behrend College",17,2,0,19,0.8947368421052632,49.82993197278912,51.216828521034394,8,2,0,0,58.92772996678733
Case Western Reserve University,8,4,5,17,0.6176470588235294,65.91836734693878,59.82592806322036,6,4,5,0,58.916000779440985
State University of New York at New Paltz,15,2,2,19,0.8421052631578947,53.42465753424658,51.806961099943116,10,2,2,0,58.900279398078304
California Lutheran University,12,3,4,19,0.7368421052631579,56.201550387596896,55.45509414493002,9,3,4,0,58.524773902106354
Colby College,10,4,4,18,0.6666666666666666,62.5,57.61937220675015,8,4,4,0,58.444661178827815
University of Hartford,14,3,2,19,0.7894736842105263,58.92255892255892,54.35802189272371,9,3,2,0,58.3765756106672
McDaniel College,11,4,3,18,0.6944444444444444,60.73943661971831,56.13801622706499,8,4,3,0,58.35987378076793
St. Mary's College of Maryland,15,1,5,21,0.8333333333333334,53.041825095057035,51.9679153371969,11,1,5,0,58.24885190232755
Ohio Northern University,14,5,1,20,0.725,59.24764890282132,56.66148539877605,13,5,1,0,58.245735921434694
Hope College,12,4,2,18,0.7222222222222222,58.48375451263538,55.58989896503167,8,4,2,0,58.212395088085295
Middlebury College,8,2,6,16,0.6875,56.613756613756614,57.455732605248116,6,2,6,0,58.124255173181105
Saint Mary's University of Minnesota,14,3,4,21,0.7619047619047619,54.45859872611465,55.04669908259407,10,3,4,0,57.83339358764228
Virginia Wesleyan University,10,5,3,18,0.6388888888888888,61.76470588235294,57.36530815990336,8,5,3,0,57.82297646070613
University of Wisconsin-Platteville,14,3,4,21,0.7619047619047619,55.17751479289941,56.16558177200878,10,3,4,0,57.78986914942183
Centre College,11,4,2,17,0.7058823529411765,61.702127659574465,56.374507322508826,10,4,2,0,57.72580202956602
University of Mary Hardin-Baylor,12,4,1,17,0.7352941176470589,57.865168539325836,55.327494335406186,10,4,1,0,57.650281559461625
York College (Pennsylvania),12,4,5,21,0.6904761904761905,57.16783216783217,55.13777758328852,11,4,5,0,57.60569257372536
University of Lynchburg,12,5,3,20,0.675,60.16129032258064,56.322502554613315,10,5,3,0,57.6051493676163
University of Southern Maine,14,2,3,19,0.8157894736842105,53.69003690036901,53.35685404125281,11,2,3,0,57.564218823911375
Williams College,8,4,4,16,0.625,60.6280193236715,56.930666906484994,8,4,4,0,57.398553580402165
Lycoming College,15,3,3,21,0.7857142857142857,52.6984126984127,53.2633337822914,11,3,3,0,57.3926143872574
Carroll University (Wisconsin),11,4,3,18,0.6944444444444444,59.27152317880795,53.73192006284198,10,4,3,0,57.3824258120058
St. Olaf College,14,3,3,20,0.775,55.047318611987386,55.028904789391646,11,3,3,0,57.381538198970865
State University of New York at Cortland,11,4,4,19,0.6842105263157895,51.574803149606296,54.42726354309291,8,4,4,0,57.228461260313374
Emmanuel College (Massachusetts),17,2,1,20,0.875,51.30813953488372,49.66023751139511,11,2,1,0,57.15746772531121
Swarthmore College,8,3,7,18,0.6388888888888888,58.45323741007194,55.65615861719588,8,3,7,0,56.926459578145895
Rhodes College,12,4,1,17,0.7352941176470589,53.63247863247863,54.077400197448654,8,4,1,0,56.91703392373841
Maryville College (Tennessee),12,2,4,18,0.7777777777777778,54.770992366412216,53.758597737934856,8,2,4,0,56.85503772696705
Grove City College,13,3,3,19,0.7631578947368421,55.536332179930795,51.11327007439637,9,3,3,0,56.834779244152806
Brandeis University,9,7,1,17,0.5588235294117647,65.87591240875912,58.26020260003209,8,7,1,0,56.78368283337956
Stevens Institute of Technology,11,6,2,19,0.631578947368421,58.387096774193544,54.269408831773355,9,6,2,0,56.7680256853984
University of Mary Washington,9,6,4,19,0.5789473684210527,63.34661354581673,58.41269912993515,9,6,4,0,56.60525875837133
Franklin & Marshall College,9,5,7,21,0.5952380952380952,59.47712418300654,56.61323513186649,9,5,7,0,56.48492702360033
Dickinson College,10,5,4,19,0.631578947368421,57.49999999999999,56.48643273442837,10,5,4,0,56.45875873924468
State University of New York at Geneseo,13,4,3,20,0.725,54.166666666666664,53.19863684136874,11,4,3,0,56.4555887610149
Johnson & Wales University (Providence),18,4,1,23,0.8043478260869565,52.03252032520326,51.83135174035069,14,4,1,0,56.4550850081177
Texas Lutheran University,12,4,2,18,0.7222222222222222,54.25101214574899,50.34903785894591,10,4,2,0,56.089537723277914
