date,away_team,away_score,home_team,home_score,overtime
2024-09-07,Monmouth IL,4,Rockford,1,
2024-09-07,Hartford,2,Montclair St,0,
2024-09-07,Nazareth,1,St Lawrence,0,
2024-09-07,N Central MN,0,Faith Bap,2,
2024-09-07,Manhattanville,1,Ramapo,1,
2024-09-07,Mitchell,0,Regis MA,5,
2024-09-07,R Stockton,0,SUNY New Paltz,2,
2024-09-07,Rutgers-Newark,0,PSU-Behrend,2,
2024-09-07,St Benedict,3,WI Oshkosh,1,
2024-09-07,PSU-Abington,2,Pratt Inst,1,
2024-09-07,Simmons,1,Elms,2,
2024-09-07,Westfield St,1,S Maine,2,
2024-09-07,SW Christian,0,Univ Ozarks,0,
2024-09-07,SUNY Fredonia,2,Houghton,1,
2024-09-07,Bates,1,Trinity CT,0,
2024-09-07,Fitchburg St,0,W New England,4,
2024-09-07,Suffolk,1,Worcester St,0,
2024-09-07,Worcester Tech,4,Roger Williams,1,
2024-09-07,York NY,1,St Elizabeth,8,
2024-09-07,Heidelberg,2,Bethany WV,0,
2024-09-07,Wilson,2,Immaculata,0,
2024-09-07,Nichols,4,Plymouth St,2,
2024-09-07,SUNY Poly,2,MA Col Lib Arts,0,
2024-09-07,St Joseph's ME,1,St Joseph CT,2,
2024-09-07,SUNY Delhi,0,Wellesley,1,
2024-09-07,WI Superior,1,WI Platteville,2,
2024-09-07,Centenary NJ,4,Cairn,0,
2024-09-07,Chatham,0,Baldwin-Wallace,2,
2024-09-07,Covenant,1,Centre,2,
2024-09-07,Cornell IA,0,Concordia Mhd,7,
2024-09-07,ME Ft Kent,5,Fisher,0,
2024-09-07,Morrisville St,0,Alfred St,0,
2024-09-07,Bowdoin,0,Colby,1,
2024-09-07,Peace,1,Randolph Col,1,
2024-09-07,Husson,1,NYU,6,
2024-09-08,Patrick Henry,0,Sweet Briar,1,
2024-09-08,Cal Lutheran,6,Concordia TX,1,
2024-09-08,Carnegie Mellon,2,Westminster PA,0,
2024-09-08,WI Stevens Pt,2,Carroll WI,1,
2024-09-08,UC Santa Cruz,2,Chicago,3,
2024-09-08,Chris Newport,3,Ohio Northern,1,
2024-09-08,St Catherine,1,WI Oshkosh,0,
2024-09-08,NE Wesleyan,1,Concordia Mhd,2,
2024-09-08,Hobart & Smith,1,Denison,1,
2024-09-08,Dominican IL,1,Wartburg,3,
2024-09-08,J&W NC,0,E Mennonite,1,
2024-09-08,Smith,0,Amherst,1,
2024-09-08,St Mary's MN,0,Grinnell,0,
2024-09-08,Webster,1,Hendrix,1,O2
2024-09-08,Huntingdon,0,NC Wesleyan,3,
2024-09-08,IL Wesleyan,0,WI LaCrosse,2,
2024-09-08,Lynchburg,1,Johns Hopkins,4,
2024-09-08,Baldwin-Wallace,2,Kalamazoo,0,
2024-09-08,Indiana,9,Lawrence,0,
2024-09-08,Lewis & Clark,1,Multnomah Bib,3,
2024-09-08,Austin Col,1,Millsaps,0,
2024-09-08,WI Lutheran,4,Martin Luther,1,
2024-09-08,Dallas Univ,0,McMurry,3,
2024-09-08,Methodist,0,St Mary's MD,2,
2024-09-08,Misericordia,1,John Carroll,0,
2024-09-08,Moravian,1,Coast Guard,0,
2024-09-08,Mt Mary,4,Andrews,1,
2024-09-08,N Central IL,3,Ohio Wesleyan,2,
2024-09-08,Pacific OR,2,Chapman,2,
2024-09-08,Macalester,0,Redlands,2,
2024-09-08,Berry,0,Emory,6,
2024-09-08,Roanoke,0,Hardin-Simmons,2,
2024-09-08,WI Stout,0,St Scholastica,0,O1
2024-09-08,Salisbury,0,McDaniel,1,
2024-09-08,St Thomas TX,1,Howard Payne,1,O1
2024-09-08,Farmingdale,1,Shenandoah,5,
2024-09-08,SUNY Oneonta,0,Susquehanna,2,
2024-09-08,SUNY Potsdam,3,Husson,6,
2024-09-08,VA Wesleyan,1,UT Dallas,2,
2024-09-08,Trine,1,M Hardin-Baylor,1,
2024-09-08,U New England,5,Westfield St,1,
2024-09-08,Willamette,2,Caltech,0,
2024-09-08,Springfield,1,Williams,0,
2024-09-08,Buena Vista,3,Waldorf,1,
2024-09-08,Elmhurst,4,Concordia IL,0,
2024-09-08,Drew,0,SUNY New Paltz,2,
2024-09-08,King's PA,0,R Stockton,3,
2024-09-08,LaGrange,0,Meredith,6,
2024-09-08,Marian WI,1,WI Whitewater,3,
2024-09-08,Marietta,2,Mt St Joseph,2,
2024-09-08,Hartwick,1,Marywood,0,
2024-09-08,N England Col,1,Castleton,3,
2024-09-08,Agnes Scott,0,Oglethorpe,1,
2024-09-08,Berea,11,Eureka,0,
2024-09-08,Puget Sound,0,Claremont M.S.,1,
2024-09-08,St Benedict,1,Central IA,0,
2024-09-08,Carthage,1,Bethel MN,2,
2024-09-08,Trinity CT,2,Skidmore,3,
2024-09-08,TX Lutheran,1,Sul Ross,3,
2024-09-08,Yeshiva,0,St Joseph's NY,3,
2024-09-08,Stevens,0,NYU,1,
2024-09-08,Simpson IA,4,Milwaukee Eng,1,
2024-09-08,Sewanee,1,Transylvania,0,
2024-09-08,St Joseph's LI,1,W Connecticut,4,
2024-09-08,SUNY Cobleskill,0,Pitt-Bradford,2,
2024-09-08,Wesleyan GA,1,Salem NC,6,
2024-09-08,ME Presque Isle,1,Fisher,0,
2024-09-08,ME Ft Kent,0,ME Maritime,0,
2024-09-09,Guilford,3,Greensboro,0,
2024-09-09,Rhodes,4,Belhaven MS,0,
2024-09-09,Defiance,0,Bluffton,3,
2024-09-09,FDU Madison,1,Sarah Lawrence,0,
2024-09-09,Schreiner,0,Our Lady Lake,2,
2024-09-09,Roger Williams,1,Wheaton MA,2,
2024-09-10,SUNY Canton,0,Clarkson,6,
2024-09-10,College of NJ,2,Arcadia,1,
2024-09-10,DeSales,3,Muhlenberg,1,
2024-09-10,Eastern Univ,3,Immaculata,1,
2024-09-10,Lycoming,2,Elmira,0,
2024-09-10,Geneva,4,La Roche,0,
2024-09-10,Harris-Stowe,2,Greenville,1,
2024-09-10,Adrian,1,Heidelberg,0,
2024-09-10,Goucher,0,Hood,1,
2024-09-10,Hope,3,Wheaton IL,1,
2024-09-10,Blackburn,0,Illinois Col,11,
2024-09-10,St Mary's IN,5,IN S Bend,0,
2024-09-10,Westcliff,0,La Verne,0,
2024-09-10,Bethany Luth,0,Augsburg,6,
2024-09-10,Williams Bap,2,Lyon,1,
2024-09-10,Millsaps,2,Le Tourneau,2,
2024-09-10,Pratt Inst,3,Old Westbury,1,
2024-09-10,Rockford,0,Ripon,0,
2024-09-10,Rochester NY,1,Nazareth,0,
2024-09-10,Rose-Hulman,0,DePauw,1,
2024-09-10,St Olaf,1,WI Stout,0,
2024-09-10,Carlow,0,Wash & Jeff,7,
2024-09-10,Westminster MO,0,Washington StL,3,
2024-09-10,WI Whitewater,2,Luther IA,2,
2024-09-10,Mt St Joseph,1,Wittenberg,0,
2024-09-10,Huntington,5,Manchester,0,
2024-09-10,E Connecticut,0,Worcester St,1,
2024-09-10,Hamilton,3,Oswego St,0,
2024-09-10,Keuka,1,SUNY Fredonia,4,
2024-09-10,Yeshiva,1,Lehman,9,
2024-09-10,Bowdoin,7,ME Farmington,0,
2024-09-10,Monmouth IL,10,Eureka,0,
2024-09-10,Purchase,0,Bard,1,
2024-09-10,Randolph-Macon,3,S Virginia,1,
2024-09-10,Rivier,1,MA Maritime,1,
2024-09-10,St John Fisher,2,Rochester Tech,2,
2024-09-10,ME Maritime,4,Thomas ME,0,
2024-09-10,Waynesburg,0,Pitt-Greensburg,0,
2024-09-10,Suffolk,5,Fitchburg St,0,
2024-09-10,WI Superior,0,Gust Adolphus,1,
2024-09-10,SUNY Maritime,3,St Elizabeth,1,
2024-09-10,Christendom,13,Trinity DC,0,
2024-09-11,N Central IL,4,Calvin,2,
2024-09-11,Baldwin-Wallace,0,Case Western,2,
2024-09-11,Coe,1,Augustana IL,2,
2024-09-11,S Maine,2,Colby,3,
2024-09-11,Alfred St,0,Alfred,2,
2024-09-11,Dubuque,2,Concordia IL,0,
2024-09-11,Allegheny,0,PSU-Behrend,3,
2024-09-11,RI College,2,Curry,1,
2024-09-11,Delaware Val,3,Cairn,1,
2024-09-11,Dickinson,2,Mary Washington,0,
2024-09-11,Wilmington OH,3,Earlham,1,
2024-09-11,E Mennonite,1,NC Wesleyan,3,
2024-09-11,Aurora,4,Elmhurst,0,
2024-09-11,Ferrum,2,J&W NC,0,
2024-09-11,Franklin,0,Spalding,2,
2024-09-11,Grinnell,0,Simpson IA,4,
2024-09-11,Mt Union,1,Grove City,3,
2024-09-11,Pfeiffer,0,Guilford,6,
2024-09-11,Peace,5,Regent,1,
2024-09-11,Gwynedd-Mercy,2,Rosemont,1,
2024-09-11,N Central MN,0,Hamline,5,
2024-09-11,Houghton,5,Hilbert,0,
2024-09-11,U New England,4,Husson,1,
2024-09-11,Knox,0,IL Wesleyan,5,
2024-09-11,Ithaca,2,Cortland St,0,
2024-09-11,Salisbury,0,Johns Hopkins,0,
2024-09-11,Colby-Sawyer,0,J&W RI,2,
2024-09-11,Juniata,2,Alvernia,1,
2024-09-11,Westfield St,4,Keene St,0,
2024-09-11,Brooklyn Col,2,Keystone,3,
2024-09-11,Beloit,4,Lakeland,0,
2024-09-11,Loras,3,WI Oshkosh,0,
2024-09-11,Randolph Col,1,Mary Baldwin,0,
2024-09-11,Maryville TN,1,Sewanee,1,
2024-09-11,Meredith,3,Averett,1,
2024-09-11,Messiah,2,McDaniel,0,
2024-09-11,Millikin,2,Webster,2,O1
2024-09-11,MN Morris,0,WI River Falls,5,
2024-09-11,Misericordia,1,Montclair St,0,
2024-09-11,Muskingum,1,Oberlin,2,
2024-09-11,North Park,1,IL Tech,3,
2024-09-11,Anna Maria,2,Norwich,2,
2024-09-11,York NY,1,Old Westbury,6,
2024-09-11,Bryn Mawr,0,PSU-Harrisburg,2,
2024-09-11,Benedictine IL,0,Lake Forest,3,
2024-09-11,Plattsburgh St,0,Skidmore,3,
2024-09-11,La Sierra,1,Redlands,2,
2024-09-11,Rensselaer,3,Castleton,2,
2024-09-11,Swarthmore,1,Rowan,1,
2024-09-11,Russell Sage,3,SUNY Delhi,0,
2024-09-11,St Vincent,5,Mt Aloysius,1,
2024-09-11,Bluffton,2,Cin Clermont,3,
2024-09-11,Farmingdale,0,NYU,0,
2024-09-11,SUNY Potsdam,0,Utica,2,
2024-09-11,Susquehanna,3,Marymount VA,1,
2024-09-11,Penn Col Tech,8,Thiel,0,
2024-09-11,Ohio Northern,0,Trine,1,
2024-09-11,Union NY,2,W New England,2,
2024-09-11,Clark MA,2,Brandeis,4,
2024-09-11,Vassar,4,W Connecticut,1,
2024-09-11,Piedmont,1,Brevard,1,
2024-09-11,Carleton MN,3,Wartburg,1,
2024-09-11,Washington MD,0,Rutgers-Camden,0,
2024-09-11,Wentworth Tech,5,Fisher,0,
2024-09-11,Wesleyan CT,2,Worcester Tech,0,
2024-09-11,King's PA,0,Wilkes,1,
2024-09-11,Brockport St,2,Buffalo St,0,
2024-09-11,Marietta,2,Wooster,3,
2024-09-11,Frank & Marsh,0,York PA,0,
2024-09-11,Lancaster Bib,2,Bryn Athyn,0,
2024-09-11,Alma,0,Lawrence Tech,3,
2024-09-11,Anderson IN,4,Indiana-East,1,
2024-09-11,Midway,2,Asbury,3,
2024-09-11,Olivet MI,0,Lourdes,1,
2024-09-11,Transylvania,0,Centre,2,
2024-09-11,Albertus Magnus,3,Mitchell,0,
2024-09-11,Albright,0,Neumann,2,
2024-09-11,CT College,4,Coast Guard,1,
2024-09-11,Covenant,1,Oglethorpe,0,
2024-09-11,Elms,3,Dean,1,
2024-09-11,Edgewood,3,Central IA,2,
2024-09-11,Gettysburg,2,Elizabethtown,1,
2024-09-11,Emmanuel MA,3,Regis MA,1,
2024-09-11,Rutgers-Newark,4,FDU Madison,2,
2024-09-11,Geneseo St,0,St Lawrence,1,
2024-09-11,Bushnell,0,George Fox,3,
2024-09-11,Gordon,3,Salve Regina,2,
2024-09-11,Haverford,3,Widener,0,
2024-09-11,John Jay,0,PSU-Abington,4,
2024-09-11,Marian WI,0,Lawrence,2,
2024-09-11,Marywood,1,Mt St Mary NY,1,
2024-09-11,MA Dartmouth,1,Roger Williams,2,
2024-09-11,Mt St Vincent,0,SUNY New Paltz,2,
2024-09-11,Rivier,3,N England Col,2,
2024-09-11,R Stockton,4,Centenary NJ,0,
2024-09-11,Northwestern MN,3,Bethel MN,3,
2024-09-11,St Mary's MD,2,Stevenson,0,
2024-09-11,PSU-Berks,0,Scranton,5,
2024-09-11,Catholic,1,Bridgewater VA,0,
2024-09-11,Hiram,4,Bethany WV,1,
2024-09-11,Wellesley,1,MA Boston,1,
2024-09-11,Sarah Lawrence,4,City Col NY,1,
2024-09-11,Nichols,2,Salem MA,0,
2024-09-11,WI Stevens Pt,0,St Norbert,1,
2024-09-11,Simmons,2,St Joseph CT,1,
2024-09-11,Milwaukee Eng,1,WI LaCrosse,4,
2024-09-11,WI Platteville,3,Concordia WI,1,
2024-09-11,PSU-Beaver,0,Pitt-Bradford,15,
2024-09-11,Emerson,0,Endicott,0,
2024-09-11,Carlow,0,Chatham,2,
2024-09-11,PSU-Altoona,0,Wilson,3,
2024-09-11,Morrisville St,3,SUNY-ESF,3,
2024-09-11,PSU-Brandywine,0,PSU-Schuylkill,0,
2024-09-12,Linfield,0,Cal Lutheran,0,O1
2024-09-12,Carnegie Mellon,1,Point Park,1,
2024-09-12,Bob Jones,2,Greensboro,1,
2024-09-12,Austin Col,2,Wiley,0,
2024-09-12,Howard Payne,0,McMurry,1,
2024-09-12,Roanoke,1,S Virginia,1,
2024-09-12,Bridgewater MA,0,Wheaton MA,0,
2024-09-12,Maranatha Bap,0,Buena Vista,11,
2024-09-12,Pomona-Pitzer,3,UC Santa Cruz,0,
2024-09-12,Sarah Lawrence,12,Yeshiva,0,
2024-09-12,Illinois Col,2,Great Lakes Chr,0,
2024-09-12,Immaculata,0,NJ City,4,
2024-09-12,Merchant Marine,1,St Joseph's LI,0,
2024-09-12,Martin Luther,1,MN Morris,0,
2024-09-13,Hartford,3,Clarkson,1,
2024-09-13,College of NJ,2,Hood,0,
2024-09-13,Claremont M.S.,5,St Catherine,0,
2024-09-13,Cornell IA,2,Edgewood,4,
2024-09-13,Spartanburg Meth,1,Bob Jones,0,
2024-09-13,E Texas Bap,1,TX Lutheran,4,
2024-09-13,N Central IL,3,Greenville,0,
2024-09-13,Bryn Athyn,2,Gwynedd-Mercy,1,
2024-09-13,WI Platteville,2,Augsburg,1,
2024-09-13,Mary Baldwin,2,Averett,2,
2024-09-13,McMurry,2,Wayland,0,
2024-09-13,Millsaps,0,Univ Ozarks,1,
2024-09-13,Agnes Scott,1,MS Women,2,
2024-09-13,PSU-Berks,0,Rowan,3,
2024-09-13,Hendrix,0,St Thomas TX,1,
2024-09-13,Trinity TX,1,UT Dallas,0,
2024-09-13,WI Lutheran,6,Beloit,0,
2024-09-13,WI Eau Claire,1,Albion,1,
2024-09-13,Blackburn,0,Stephens,4,
2024-09-13,Houston-Victoria,3,Schreiner,1,
2024-09-13,DePauw,0,Washington StL,4,
2024-09-13,Dallas Univ,2,Le Tourneau,0,
2024-09-13,Meredith,0,Piedmont,0,
2024-09-13,Crown MN,0,Bethel MN,6,
2024-09-13,Warren Wilson,1,Salem NC,7,
2024-09-13,Westfield St,1,MA Boston,2,
2024-09-13,Five Towns,0,SUNY Maritime,1,
2024-09-13,Sweet Briar,11,Trinity DC,0,
2024-09-13,Pac Lutheran,0,Evergreen St,0,
2024-09-14,Willamette,0,Cal Lutheran,0,
2024-09-14,Calvin,3,Chicago,1,
2024-09-14,Trine,3,Capital,2,
2024-09-14,Kalamazoo,1,Carthage,2,
2024-09-14,Otterbein,0,Case Western,0,
2024-09-14,Cedar Crest,0,Manhattanville,3,
2024-09-14,LaGrange,1,Centenary,0,
2024-09-14,Emory,0,Chris Newport,1,
2024-09-14,Coe,0,Monmouth IL,0,
2024-09-14,Tufts,3,Colby,0,
2024-09-14,Colby-Sawyer,2,Albertus Magnus,1,
2024-09-14,Concordia IL,2,Great Lakes Chr,0,
2024-09-14,SUNY Fredonia,3,Allegheny,5,
2024-09-14,Curry,3,Fitchburg St,0,
2024-09-14,Lycoming,2,Delaware Val,0,
2024-09-14,Centre,2,Denison,0,
2024-09-14,DeSales,1,Susquehanna,1,
2024-09-14,Grove City,3,Dickinson,2,
2024-09-14,Dominican IL,3,Wheaton IL,2,
2024-09-14,Dordt,5,NE Wesleyan,0,
2024-09-14,E Mennonite,0,S Virginia,3,
2024-09-14,Williams,0,Amherst,1,
2024-09-14,Goucher,0,Eastern Univ,3,
2024-09-14,Elmira,0,St John Fisher,4,
2024-09-14,NC Wesleyan,0,Ferrum,5,
2024-09-14,Suffolk,9,Framingham St,1,
2024-09-14,Marietta,3,Geneva,0,
2024-09-14,Huntingdon,2,Greensboro,4,
2024-09-14,Albion,1,Greenville,2,
2024-09-14,Regent,0,Randolph Col,3,
2024-09-14,Central IA,3,Hamline,0,
2024-09-14,Hanover,6,Kenyon,0,
2024-09-14,Hobart & Smith,1,Messiah,0,
2024-09-14,Hope,2,IL Tech,1,
2024-09-14,Houghton,2,PSU-Behrend,1,
2024-09-14,Illinois Col,7,Buena Vista,0,
2024-09-14,Nazareth,2,Ithaca,3,
2024-09-14,J&W RI,9,Simmons,0,
2024-09-14,Asbury,0,Spalding,1,
2024-09-14,Juniata,2,Wash & Jeff,0,
2024-09-14,Keene St,1,U New England,2,
2024-09-14,Keystone,0,Bryn Mawr,7,
2024-09-14,Whittier,1,La Verne,0,
2024-09-14,Lakeland,0,Augustana IL,2,
2024-09-14,Lawrence,1,Macalester,1,
2024-09-14,Lebanon Val,2,Wilkes,1,
2024-09-14,Lyon,0,Central Bap,0,
2024-09-14,ME Presque Isle,1,ME Maritime,0,
2024-09-14,Manchester,1,St Francis IN,2,
2024-09-14,Webster,2,Aurora,0,
2024-09-14,Ripon,2,Martin Luther,0,
2024-09-14,Westminster MO,0,Millikin,1,
2024-09-14,Moravian,1,Misericordia,2,
2024-09-14,Waynesburg,1,Baldwin-Wallace,2,
2024-09-14,Mt Union,1,Wittenberg,2,
2024-09-14,FDU Madison,1,Muhlenberg,2,
2024-09-14,Bluffton,2,Muskingum,1,
2024-09-14,St Olaf,3,Northwestern MN,0,
2024-09-14,St Joseph's ME,0,Norwich,2,O1
2024-09-14,Oberlin,1,Wilmington OH,6,
2024-09-14,Ohio Wesleyan,2,John Carroll,0,
2024-09-14,Lehman,2,Old Westbury,3,
2024-09-14,Grinnell,4,Benedictine IL,0,
2024-09-14,Plattsburgh St,0,Rochester Tech,1,
2024-09-14,Vanguard,2,Redlands,0,
2024-09-14,Washington & Lee,8,Berry,0,
2024-09-14,Drew,1,Rensselaer,1,
2024-09-14,Rhodes,0,Washington StL,3,
2024-09-14,Buffalo St,0,Rochester NY,6,
2024-09-14,Rosemont,2,St Elizabeth,0,
2024-09-14,Russell Sage,0,Brockport St,1,
2024-09-14,St Scholastica,2,Luther IA,2,
2024-09-14,Penn Col Tech,1,St Vincent,1,
2024-09-14,Mt St Mary NY,0,Skidmore,5,
2024-09-14,Nichols,0,Smith,1,
2024-09-14,Alfred St,2,SUNY Canton,1,
2024-09-14,SUNY New Paltz,3,Farmingdale,0,
2024-09-14,Pitt-Bradford,5,Thiel,0,
2024-09-14,SUNY Oneonta,0,Union NY,3,
2024-09-14,Mt Aloysius,0,Ursinus,5,
2024-09-14,MIT,2,Brandeis,1,
2024-09-14,Montclair St,1,Vassar,1,
2024-09-14,Wartburg,1,St Benedict,1,
2024-09-14,Salem MA,1,Wentworth Tech,2,
2024-09-14,Hamilton,1,Wesleyan CT,2,
2024-09-14,Bridgewater MA,3,Lesley,1,
2024-09-14,Heidelberg,3,Westminster PA,1,
2024-09-14,PSU-Abington,1,Wm Paterson,2,
2024-09-14,N Central IL,3,WI Eau Claire,2,
2024-09-14,WI Oshkosh,0,Milwaukee Eng,2,
2024-09-14,Bethany Luth,2,WI River Falls,4,
2024-09-14,WI Stevens Pt,2,Concordia WI,0,
2024-09-14,Carleton MN,3,WI Whitewater,1,
2024-09-14,Wooster,1,Pitt-Greensburg,1,
2024-09-14,Whitworth,1,Corban,2,
2024-09-14,Caltech,3,Life Pacific,1,
2024-09-14,Albright,0,Rutgers-Newark,2,
2024-09-14,Pratt Inst,6,City Col NY,1,
2024-09-14,E Connecticut,3,Coast Guard,0,
2024-09-14,Alvernia,0,Haverford,2,
2024-09-14,Dean,0,N England Col,0,
2024-09-14,Hartwick,0,Geneseo St,3,
2024-09-14,Shenandoah,0,Gettysburg,0,
2024-09-14,Babson,1,Gordon,0,
2024-09-14,Hiram,0,Adrian,4,
2024-09-14,John Jay,0,Kean,4,
2024-09-14,Immaculata,1,Lancaster Bib,1,
2024-09-14,Lewis & Clark,4,Bushnell,1,
2024-09-14,Lynchburg,3,Marymount VA,0,
2024-09-14,Plymouth St,2,ME Farmington,0,
2024-09-14,Eureka,1,Maranatha Bap,3,
2024-09-14,Loras,2,Marian WI,0,
2024-09-14,Mary Washington,1,VA Wesleyan,1,
2024-09-14,R Stockton,1,Marywood,0,
2024-09-14,MA Maritime,1,MA Dartmouth,3,
2024-09-14,Middlebury,2,Trinity CT,0,
2024-09-14,Mt Holyoke,0,Endicott,0,
2024-09-14,Pac Lutheran,0,Multnomah Bib,0,
2024-09-14,Sarah Lawrence,7,Bard,0,
2024-09-14,Widener,3,Neumann,1,
2024-09-14,Rockford,2,N Central MN,0,
2024-09-14,Talladega,3,Oglethorpe,0,
2024-09-14,St Lawrence,4,Oswego St,0,
2024-09-14,Pfeiffer,0,Piedmont,1,
2024-09-14,Ohio Chr,3,Berea,0,
2024-09-14,St Mary's MD,1,Randolph-Macon,2,
2024-09-14,Regis MA,1,Lasell,1,
2024-09-14,Springfield,6,RI College,1,
2024-09-14,Mitchell,0,Rivier,2,
2024-09-14,Bethel MN,2,WI Stout,0,
2024-09-14,J&W NC,2,Salem NC,0,
2024-09-14,Scranton,2,Stevens,1,
2024-09-14,S Maine,8,ME Ft Kent,0,
2024-09-14,Claremont M.S.,1,UC Santa Cruz,1,
2024-09-14,Belhaven MS,6,Univ Ozarks,0,
2024-09-14,Elizabethtown,1,Stevenson,0,
2024-09-14,Toccoa Falls,3,Wesleyan GA,0,
2024-09-14,W New England,1,Wellesley,0,
2024-09-14,Salisbury,1,Bridgewater VA,1,
2024-09-14,Worcester St,3,Worcester Tech,5,
2024-09-14,Gust Adolphus,2,Simpson IA,2,
2024-09-14,Hardin-Simmons,4,SW Univ TX,0,
2024-09-14,MA Col Lib Arts,2,SUNY Delhi,5,
2024-09-14,Transylvania,0,Ohio Northern,1,
2024-09-14,Anderson IN,3,Olivet MI,1,
2024-09-14,Anna Maria,2,Elms,3,
2024-09-14,Castleton,4,SUNY Potsdam,1,
2024-09-14,Salve Regina,1,W Connecticut,2,
2024-09-14,Mt St Joseph,0,Sewanee,0,
2024-09-14,WI LaCrosse,2,Dubuque,1,
2024-09-14,Cairn,2,Wilson,3,
2024-09-14,Franklin,1,St Mary's IN,0,
2024-09-14,St Joseph CT,0,Emmanuel MA,6,
2024-09-14,PSU-Altoona,0,Chatham,2,
2024-09-14,Centenary NJ,2,Purchase,1,
2024-09-14,Emerson,0,Bates,0,
2024-09-14,Bethany WV,0,Earlham,0,
2024-09-14,CT College,2,Bowdoin,1,
2024-09-14,Valley Forge,1,PSU-Brandywine,0,
2024-09-14,Concordia Mhd,3,WI Superior,0,
2024-09-14,Ramapo,9,St Joseph's NY,0,
2024-09-14,Alfred,3,Keuka,1,
2024-09-15,Millsaps,12,Tougaloo,0,
2024-09-15,Carnegie Mellon,0,Cortland St,0,
2024-09-15,Huntingdon,3,Centenary,3,
2024-09-15,Coe,0,Augsburg,7,
2024-09-15,Hartford,1,Colby,3,
2024-09-15,Pomona-Pitzer,2,St Catherine,0,
2024-09-15,St Thomas TX,1,E Texas Bap,1,
2024-09-15,Juniata,1,Franciscan OH,0,
2024-09-15,Guilford,0,Emory,3,
2024-09-15,Austin Col,0,Hendrix,0,
2024-09-15,Warner Pacific,1,Lewis & Clark,5,
2024-09-15,Maryville TN,2,Roanoke,1,
2024-09-15,Edgewood,9,Mt Mary,0,
2024-09-15,Old Westbury,1,Five Towns,1,
2024-09-15,PSU-Harrisburg,0,Frank & Marsh,0,
2024-09-15,DePauw,1,Rhodes,0,
2024-09-15,Ripon,1,Augustana IL,3,
2024-09-15,Centre,3,Rose-Hulman,0,
2024-09-15,WI Platteville,2,St Mary's MN,0,
2024-09-15,St Scholastica,0,WI Whitewater,4,
2024-09-15,Farmingdale,1,Arcadia,3,
2024-09-15,UT Dallas,3,TX Lutheran,4,
2024-09-15,Tufts,6,CT College,1,
2024-09-15,PSU-Altoona,1,Wash & Jeff,3,
2024-09-15,Williams,5,Clark MA,0,
2024-09-15,WI Stevens Pt,1,Beloit,0,
2024-09-15,Washington & Lee,2,York PA,0,
2024-09-15,Whitman,5,Corban,0,
2024-09-15,King's PA,0,Rutgers-Camden,3,
2024-09-15,ME Farmington,4,NVU-Johnson,3,
2024-09-15,Middlebury,2,MIT,2,
2024-09-15,Yeshiva,0,Mt St Mary NY,12,
2024-09-15,Washington MD,1,Randolph-Macon,1,
2024-09-15,Carleton MN,3,Simpson IA,3,
2024-09-15,Trinity TX,7,Howard Payne,0,
2024-09-15,Linfield,2,Pacific OR,1,
2024-09-15,Cornell IA,2,Marian WI,5,
2024-09-16,Hardin-Simmons,3,Concordia TX,3,
2024-09-16,Gwynedd-Mercy,6,Valley Forge,0,
2024-09-16,Lake Forest,2,Milwaukee Eng,1,
2024-09-16,WI Oshkosh,1,St Norbert,0,
2024-09-16,NE Wesleyan,0,Concordia NE,2,
2024-09-16,Marymount VA,0,Catholic,3,
2024-09-16,RI College,0,Mt Holyoke,1,
2024-09-16,WI Eau Claire,5,Bethel MN,1,
2024-09-16,Roger Williams,1,MA Boston,0,
2024-09-16,Portland,7,George Fox,0,
2024-09-17,PSU-Brandywine,2,PSU-Hazleton,1,
2024-09-17,Kenyon,1,Capital,2,
2024-09-17,Ithaca,0,Alfred,0,
2024-09-17,Allegheny,5,Hiram,0,
2024-09-17,Knox,0,Elmhurst,1,
2024-09-17,Elmira,5,Alfred St,1,
2024-09-17,Bluffton,0,Heidelberg,3,
2024-09-17,Hood,0,Wilson,0,
2024-09-17,Buffalo St,4,Houghton,2,
2024-09-17,ME Presque Isle,0,Husson,4,
2024-09-17,Illinois Col,2,Millikin,4,
2024-09-17,Washington StL,4,IL Wesleyan,0,
2024-09-17,Adrian,4,IN S Bend,1,
2024-09-17,Lawrence,0,Loras,2,
2024-09-17,Alvernia,0,Lycoming,3,
2024-09-17,Manchester,0,Olivet MI,0,
2024-09-17,Belhaven MS,5,MS Women,0,
2024-09-17,Norwich,3,Regis MA,1,
2024-09-17,Old Westbury,12,Yeshiva,0,
2024-09-17,Berry,4,LaGrange,0,
2024-09-17,St John Fisher,0,Rochester NY,3,
2024-09-17,W Connecticut,3,Russell Sage,0,
2024-09-17,W New England,1,Smith,0,
2024-09-17,St Joseph's NY,0,Farmingdale,10,
2024-09-17,Thiel,3,Hilbert,0,
2024-09-17,Bates,5,U New England,0,
2024-09-17,Carlow,1,Waynesburg,4,
2024-09-17,Westminster MO,0,Central IA,2,
2024-09-17,Buena Vista,7,Spurgeon,0,
2024-09-17,Elizabethtown,3,Lancaster Bib,0,
2024-09-17,Lasell,0,Emmanuel MA,3,
2024-09-17,Oswego St,1,Keuka,0,
2024-09-17,Endicott,0,Babson,1,
2024-09-17,Stevens,1,Montclair St,0,
2024-09-17,Purchase,0,Mt St Vincent,3,
2024-09-17,Mt St Mary NY,1,Sarah Lawrence,1,
2024-09-17,Bard,6,Brooklyn Col,0,
