massey_name	ncaa_name	provisional_membership
Montclair St	Montclair State University	
Moravian	Moravian University	
Mt Aloysius	Mount Aloysius College	
Mt Holyoke	Mount Holyoke College	
Mt Mary	Mount Mary	
Mt St Mary NY	Mount Saint Mary College (New York)	
Mt St Joseph	Mount St. Joseph University	
Muhlenberg	Muhlenberg College	
Muskingum	Muskingum University	
Nazareth	Nazareth University	
NE Wesleyan	Nebraska Wesleyan University	
Neumann	Neumann University	
N England Col	New England College	
NJ City	New Jersey City University	
NYU	New York University	
Nichols	Nichols College	
NC Wesleyan	North Carolina Wesleyan University	
N Central IL	North Central College	
N Central MN	North Central University	
North Park	North Park University	
Norwich	Norwich University	
Notre Dame MD	Notre Dame of Maryland University	
Oberlin	Oberlin College	
Occidental	Occidental College	
Oglethorpe	Oglethorpe University	
Ohio Northern	Ohio Northern University	
Ohio Wesleyan	Ohio Wesleyan University	
Otterbein	Otterbein University	
Pac Lutheran	Pacific Lutheran University	
Pacific OR	Pacific University (Oregon)	
PSU-Berks	Penn State Berks College	
PSU-Brandywine	Penn State Brandywine	p
PSU-Harrisburg	Penn State Harrisburg	
PSU-Abington	"Penn State University, Abington"	
PSU-Altoona	"Penn State University, Altoona"	
Penn Col Tech	Pennsylvania College of Technology	
PSU-Behrend	"Pennsylvania State Univ. Erie, the Behrend College"	
Pfeiffer	Pfeiffer University	
Piedmont	Piedmont University	
Plattsburgh St	Plattsburgh State University of New York	
Plymouth St	Plymouth State University	
Pomona-Pitzer	Pomona-Pitzer Colleges	
Pratt Inst	Pratt Institute	
Principia	Principia College	
Purchase	"Purchase College, State University of New York"	
Ramapo	Ramapo College	
Randolph Col	Randolph College	
Randolph-Macon	Randolph-Macon College	
Regent	Regent University	p
Regis MA	Regis College (Massachusetts)	
Rensselaer	Rensselaer Polytechnic Institute	
RI College	Rhode Island College	
Rhodes	Rhodes College	
Ripon	Ripon College	
Rivier	Rivier University	
Roanoke	Roanoke College	
Rochester Tech	Rochester Institute of Technology	
Rockford	Rockford University	
Roger Williams	Roger Williams University	
Rose-Hulman	Rose-Hulman Institute of Technology	
Rosemont	Rosemont College	
Rowan	Rowan University	
Russell Sage	Russell Sage College	
Rutgers-Camden	"Rutgers, The State Univ. of New Jersey, Camden"	
Rutgers-Newark	"Rutgers, The State Univ. of New Jersey, Newark"	
St Elizabeth	Saint Elizabeth University	
St Joseph's ME	Saint Joseph's College (Maine)	
St Mary's IN	Saint Mary's College (Indiana)	
St Mary's MN	Saint Mary's University of Minnesota	
St Vincent	Saint Vincent College	
Salem NC	Salem College (North Carolina)	
Salem MA	Salem State University	
Salisbury	Salisbury University	
Salve Regina	Salve Regina University	
Sarah Lawrence	Sarah Lawrence College	
Schreiner	Schreiner University	
Sewanee	Sewanee	
Shenandoah	Shenandoah University	
Simmons	Simmons University	
Simpson IA	Simpson College	
Skidmore	Skidmore College	
Smith	Smith College	
S Virginia	Southern Virginia University	
SW Univ TX	Southwestern University (Texas)	
Spalding	Spalding University	
Springfield	Springfield College	
St Catherine	St. Catherine University	
St John Fisher	St. John Fisher University	
St Joseph's NY	St. Joseph's University NY (Brooklyn)	
St Joseph's LI	"St. Joseph's University, New York L.I."	
St Lawrence	St. Lawrence University	
St Mary's MD	St. Mary's College of Maryland	
St Norbert	St. Norbert College	
St Olaf	St. Olaf College	
Brockport St	State University of New York at Brockport	
SUNY Canton	State University of New York at Canton	
SUNY Cobleskill	State University of New York at Cobleskill	
Cortland St	State University of New York at Cortland	
SUNY Delhi	State University of New York at Delhi	
Geneseo St	State University of New York at Geneseo	
Morrisville St	State University of New York at Morrisville	
SUNY New Paltz	State University of New York at New Paltz	
Old Westbury	State University of New York at Old Westbury	
SUNY Oneonta	State University of New York at Oneonta	
Oswego St	State University of New York at Oswego	
SUNY Potsdam	State University of New York at Potsdam	
SUNY Maritime	State University of New York Maritime College	
SUNY Poly	State University of New York Polytechnic Institute	
Stevens	Stevens Institute of Technology	
Stevenson	Stevenson University	
R Stockton	Stockton University	
Suffolk	Suffolk University	
Susquehanna	Susquehanna University	
Swarthmore	Swarthmore College	
Sweet Briar	Sweet Briar College	
TX Lutheran	Texas Lutheran University	
City Col NY	The City College of New York	
College of NJ	The College of New Jersey	
